,분류,세부분류,관광정보 사례수,관광정보 불만족,관광정보 보통,관광정보 만족,관광정보 5점평균,관광정보 100점평균,관광지매력 사례수,관광지매력 불만족,관광지매력 보통,관광지매력 만족,관광지매력 5점평균,관광지매력 100점평균,교통정보 사례수,교통정보 불만족,교통정보 보통,교통정보 만족,교통정보 5점평균,교통정보 100점평균,관광지편의성 사례수,관광지편의성 불만족,관광지편의성 보통,관광지편의성 만족,관광지편의성 5점평균,관광지편의성 100점평균,쇼핑 사례수,쇼핑 불만족,쇼핑 보통,쇼핑 만족,쇼핑 5점평균,쇼핑 100점평균,숙박 사례수,숙박 불만족,숙박 보통,숙박 만족,숙박 5점평균,숙박 100점평균,여행경비 사례수,여행경비 불만족,여행경비 보통,여행경비 만족,여행경비 5점평균,여행경비 100점평균,음식 사례수,음식 불만족,음식 보통,음식 만족,음식 5점평균,음식 100점평균,대중교통 사례수,대중교통 불만족,대중교통 보통,대중교통 만족,대중교통 5점평균,대중교통 100점평균,주민친절 사례수,주민친절 불만족,주민친절 보통,주민친절 만족,주민친절 5점평균,주민친절 100점평균,치안 사례수,치안 불만족,치안 보통,치안 만족,치안 5점평균,치안 100점평균
0,월별,01월,226,8.0,36.2,55.8,3.58,64.39,228,5.3,18.2,76.5,3.97,74.18,221,12.0,34.2,53.8,3.49,62.28,230,6.9,30.8,62.4,3.66,66.44,195,7.9,43.4,48.7,3.51,62.66,219,6.6,18.2,75.2,3.92,72.98,230,29.7,35.4,34.9,3.05,51.15,230,8.1,25.2,66.7,3.76,68.94,100,17.2,35.6,47.2,3.41,60.3,225,8.7,39.6,51.8,3.55,63.66,231,6.4,24.3,69.3,3.84,70.97
1,월별,02월,390,6.4,38.6,55.0,3.58,64.52,401,3.4,18.0,78.6,4.04,75.98,382,8.9,33.0,58.2,3.58,64.4,398,5.8,26.8,67.3,3.73,68.34,343,8.6,47.4,44.0,3.41,60.33,385,6.0,17.9,76.1,3.94,73.39,399,31.9,40.2,28.0,2.95,48.81,398,6.2,23.8,70.0,3.78,69.62,157,18.3,33.7,48.1,3.38,59.4,387,12.0,40.1,47.9,3.43,60.65,400,5.7,25.4,68.9,3.79,69.66
2,월별,06월,537,5.1,40.5,54.4,3.58,64.51,558,4.2,13.4,82.4,4.08,76.89,539,9.9,34.4,55.7,3.53,63.19,558,4.1,32.4,63.5,3.7,67.55,467,9.2,47.6,43.2,3.4,60.0,539,4.4,18.9,76.7,3.93,73.35,562,40.8,34.7,24.6,2.75,43.84,564,6.4,27.3,66.3,3.75,68.65,189,24.0,41.1,34.8,3.12,53.0,541,9.0,38.7,52.3,3.52,62.88,566,2.6,28.3,69.1,3.86,71.47
3,월별,07월,546,7.0,42.0,51.0,3.52,62.97,556,2.8,17.6,79.7,4.01,75.23,530,7.9,39.3,52.8,3.52,63.05,561,4.9,30.4,64.7,3.72,68.09,481,8.9,48.6,42.5,3.39,59.82,538,5.5,22.3,72.2,3.83,70.79,564,44.3,32.8,22.9,2.7,42.46,562,5.5,29.1,65.4,3.73,68.34,228,20.9,39.2,39.9,3.24,55.94,546,12.3,41.2,46.6,3.45,61.17,565,4.3,27.4,68.3,3.83,70.65
4,월별,08월,474,9.0,42.1,48.9,3.48,62.04,484,3.9,16.9,79.1,4.0,75.08,454,8.8,35.0,56.2,3.54,63.43,485,5.7,33.0,61.3,3.67,66.81,399,14.0,44.9,41.1,3.35,58.77,443,5.8,23.3,70.9,3.83,70.85,487,40.8,32.3,26.9,2.81,45.32,487,7.5,24.8,67.7,3.77,69.31,156,15.3,38.6,46.1,3.38,59.54,476,9.3,44.8,46.0,3.45,61.18,489,4.5,26.6,68.8,3.84,70.89
5,월별,09월,409,9.5,38.1,52.4,3.52,63.05,427,7.3,20.2,72.4,3.9,72.57,407,12.5,34.5,53.0,3.48,61.96,427,7.3,31.7,60.9,3.64,66.08,367,11.6,46.4,42.0,3.35,58.66,404,7.1,24.5,68.3,3.77,69.13,427,41.5,33.9,24.6,2.78,44.39,432,9.6,27.4,62.9,3.66,66.47,197,21.5,36.2,42.2,3.22,55.61,411,14.0,40.4,45.6,3.36,59.12,425,8.0,28.7,63.4,3.72,67.94
6,월별,10월,599,9.8,40.3,49.8,3.46,61.54,615,4.9,17.1,78.0,3.99,74.79,584,9.8,39.8,50.4,3.46,61.57,613,6.5,31.9,61.6,3.65,66.17,511,12.5,43.8,43.8,3.33,58.28,575,6.0,18.7,75.3,3.87,71.75,616,40.9,30.7,28.4,2.82,45.46,615,9.6,22.3,68.1,3.73,68.25,237,16.6,37.7,45.6,3.33,58.32,603,14.7,42.0,43.3,3.34,58.62,617,6.6,27.0,66.4,3.79,69.72
7,월별,11월,570,5.6,44.3,50.2,3.53,63.26,595,3.2,16.7,80.1,4.02,75.61,555,9.4,39.5,51.1,3.47,61.83,594,4.9,29.1,66.0,3.74,68.38,498,10.6,48.7,40.6,3.37,59.37,550,4.7,20.3,75.0,3.92,72.9,595,40.0,35.1,25.0,2.8,45.04,595,6.1,24.4,69.5,3.8,70.11,257,20.1,33.8,46.1,3.32,57.89,578,8.0,39.9,52.1,3.54,63.43,601,3.8,27.9,68.3,3.83,70.66
8,월별,12월,521,8.4,36.4,55.2,3.54,63.54,532,5.2,16.3,78.5,3.98,74.48,514,10.1,35.7,54.2,3.52,62.97,537,8.2,27.3,64.5,3.68,66.93,471,11.2,44.6,44.3,3.38,59.56,513,5.8,18.7,75.4,3.91,72.73,540,35.6,39.7,24.7,2.87,46.63,541,4.9,24.6,70.5,3.83,70.68,209,25.4,30.0,44.6,3.24,55.99,522,9.1,41.0,49.9,3.51,62.8,543,4.5,23.9,71.6,3.85,71.37
