,분류,세부분류,관광정보 사례수,관광정보 불만족,관광정보 보통,관광정보 만족,관광정보 5점평균,관광정보 100점평균,관광지매력 사례수,관광지매력 불만족,관광지매력 보통,관광지매력 만족,관광지매력 5점평균,관광지매력 100점평균,교통정보 사례수,교통정보 불만족,교통정보 보통,교통정보 만족,교통정보 5점평균,교통정보 100점평균,관광지편의성 사례수,관광지편의성 불만족,관광지편의성 보통,관광지편의성 만족,관광지편의성 5점평균,관광지편의성 100점평균,쇼핑 사례수,쇼핑 불만족,쇼핑 보통,쇼핑 만족,쇼핑 5점평균,쇼핑 100점평균,숙박 사례수,숙박 불만족,숙박 보통,숙박 만족,숙박 5점평균,숙박 100점평균,여행경비 사례수,여행경비 불만족,여행경비 보통,여행경비 만족,여행경비 5점평균,여행경비 100점평균,음식 사례수,음식 불만족,음식 보통,음식 만족,음식 5점평균,음식 100점평균,대중교통 사례수,대중교통 불만족,대중교통 보통,대중교통 만족,대중교통 5점평균,대중교통 100점평균,주민친절 사례수,주민친절 불만족,주민친절 보통,주민친절 만족,주민친절 5점평균,주민친절 100점평균,치안 사례수,치안 불만족,치안 보통,치안 만족,치안 5점평균,치안 100점평균
0,월별,01월,596,1.8,20.7,77.5,3.97,74.29,595,1.4,13.8,84.8,4.3,82.58,576,4.9,29.4,65.7,3.77,69.29,598,2.5,16.5,81.0,4.12,78.05,570,3.5,23.5,73.0,3.93,73.23,547,0.7,9.6,89.6,4.28,82.06,600,21.6,37.2,41.2,3.25,56.26,584,3.5,13.7,82.8,4.13,78.32,153,22.2,44.3,33.5,3.12,53.11,597,4.8,22.1,73.1,3.86,71.57,598,1.3,16.1,82.6,4.03,75.65
1,월별,02월,323,1.8,15.6,82.6,4.0,75.1,327,1.0,8.5,90.5,4.43,85.83,324,1.3,20.9,77.8,3.95,73.7,325,1.5,10.7,87.8,4.28,82.12,300,1.6,17.9,80.5,4.06,76.55,316,0.3,6.6,93.2,4.32,83.05,327,14.4,36.3,49.4,3.42,60.39,325,2.2,10.8,86.9,4.18,79.43,49,13.7,49.4,36.9,3.33,58.24,325,2.7,18.6,78.7,3.97,74.34,327,0.5,11.7,87.8,4.1,77.44
2,월별,08월,583,5.9,42.2,51.9,3.54,63.38,600,1.8,18.4,79.8,4.08,76.98,574,11.2,36.4,52.4,3.48,62.03,601,5.5,29.6,64.9,3.68,67.12,543,9.1,47.5,43.4,3.38,59.4,570,3.6,19.2,77.2,3.96,73.99,604,45.3,33.4,21.4,2.67,41.86,612,6.2,23.4,70.4,3.81,70.18,199,25.5,32.1,42.4,3.21,55.15,591,9.6,42.3,48.1,3.47,61.75,608,4.5,29.1,66.4,3.79,69.84
3,월별,09월,373,8.2,42.7,49.1,3.48,61.92,385,4.0,15.0,81.0,4.05,76.16,364,10.4,33.9,55.7,3.52,62.96,381,7.9,30.7,61.4,3.65,66.17,332,13.9,45.6,40.5,3.28,57.06,358,4.3,20.0,75.6,3.92,73.08,392,44.5,35.8,19.7,2.66,41.59,391,5.9,26.1,67.9,3.78,69.56,138,21.9,41.3,36.8,3.16,54.02,376,9.6,48.7,41.7,3.39,59.63,392,5.1,33.1,61.8,3.74,68.42
4,월별,10월,553,5.4,39.1,55.5,3.59,64.87,573,2.6,11.0,86.4,4.18,79.62,547,9.4,35.5,55.1,3.52,62.98,575,3.0,28.8,68.2,3.78,69.55,485,12.6,44.3,43.1,3.37,59.19,537,3.2,17.4,79.4,3.99,74.73,580,39.5,35.5,25.0,2.82,45.59,575,5.0,25.2,69.8,3.81,70.3,193,27.4,31.6,41.0,3.12,53.12,552,9.4,41.9,48.7,3.48,61.97,576,4.2,24.9,70.9,3.89,72.36
5,월별,11월,587,6.9,38.7,54.5,3.56,64.05,608,2.6,17.6,79.8,4.08,77.05,569,10.1,35.9,53.9,3.49,62.3,607,4.9,33.4,61.7,3.67,66.72,503,12.7,46.6,40.7,3.34,58.48,572,5.6,12.6,81.8,3.97,74.13,603,41.1,35.4,23.6,2.78,44.55,605,6.3,25.7,68.1,3.76,69.05,196,21.3,37.3,41.4,3.26,56.41,592,7.5,47.0,45.5,3.46,61.57,608,4.7,27.4,67.9,3.83,70.77
6,월별,12월,335,8.0,37.3,54.7,3.55,63.78,334,6.8,19.5,73.6,3.9,72.38,322,11.5,36.9,51.7,3.46,61.51,334,7.6,35.1,57.2,3.61,65.21,283,11.2,45.1,43.7,3.4,60.1,319,5.7,21.4,72.9,3.87,71.74,339,32.5,36.4,31.1,2.99,49.7,337,9.0,23.1,67.9,3.75,68.83,125,23.1,34.4,42.5,3.24,55.91,334,11.2,41.2,47.6,3.45,61.35,338,6.3,24.6,69.0,3.81,70.24
